"company_name";"twitter_url";"high_concept";"company_url";"founders"
"MyMundus";"http://twitter.com/MyMundus";"Evernote without taking notes";"http://www.mymundus.com";"Constantin Gavrilete,Rene Vonwald"
"Blossom";"blossom_io";"Lean Product Management.";"https://www.blossom.io";"Thomas Schranz,Nik Graf,Allan Berger"
